Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,-0.54,0,,
36%,,111.84,-21.48,0.84,-0.61,3.05,,
73%,,68.89,42.75,1.42,-5.71,5.13,0.68,
208%,209%,28.59,16.75,6.19,-5.38,22.01,3.29,6.22
80%,83%,83.22,4.05,2.79,3.68,9.83,-0.55,0.92
123%,109%,26.42,12.24,4.41,2.5,18.16,0.85,-0.17
143%,170%,35.02,25.31,9.63,0.31,27.03,0.49,1.75
107%,132%,35.56,6.6,9.49,0.57,29,0.07,0.6
116%,130%,23.39,7.11,12.79,-66.67,40.63,0.4,0.5
116%,120%,17.77,9.42,13.02,3.08,46.61,0.15,0.61
134%,121%,17.97,10.06,13.17,1.57,54.51,0.17,0.34
141%,89%,29.77,13.79,9.51,-0.34,40.81,-0.25,-0.12
,86%,33.84,95.17,6.66,-0.71,28.55,-0.3,-0.48
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,0,,0,,
,,, -   ,0,,0,,
,,, -   ,0,0.05,0,,
69%,115%, -   ,16.04,13.57,0.81,24.86,,
73%,107%, -   ,16.9,13.82,0.27,26.19,0.05,
105%,122%, -   ,17.64,16.62,0.24,32.46,0.24,0.31
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
133%,136%,42.51,24.74,2.13,0.5,8.41,,
113%,111%,49.6,18.03,2.13,0.66,8.26,-0.02,
131%,120%,41.69,20.58,2.79,1.12,10.66,0.29,0.27
144%,128%,33.86,21.98,3.59,1.23,13.52,0.27,0.64
127%,116%,27.59,20.19,3.93,1.32,14.03,0.04,0.32
120%,109%,37.53,17.71,4.26,2.52,15.11,0.08,0.12
111%,109%,25.9,18.46,4.92,9.37,17.26,0.14,0.23
126%,127%,16.77,21.58,6.51,2.62,22.88,0.33,0.51
125%,129%,27.08,21.87,7.44,1.63,26.79,0.17,0.55
139%,137%,19.65,23.76,9.21,1.98,33.14,0.24,0.45
141%,149%,22.97,26.19,10.51,57.51,39.41,0.19,0.47
134%,145%,20.56,27.65,11.03,-25.2,42.44,0.08,0.28
124%,141%,17.44,26.05,11.65,7.84,45.06,0.06,0.14
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,187%,61.75,10.2,4.21,-0.69,15.61,,
,251%,65.45,11.96,11.11,-0.73,30.01,0.92,
,155%,68.78,6.32,12.57,-0.67,27.48,-0.08,0.76
,160%,74.46,14.15,18.95,-0.94,37.08,0.35,0.24
,60%,236.82,16.44,9.19,-2.19,15.29,-0.59,-0.44
,119%,109.8,-2.56,15.88,19.33,24.48,0.6,-0.34
,112%,183.19,9.76,16.03,-53.76,24.51,0,0.6
,85%,335.96,9.09,13.9,-2.69,21.08,-0.14,-0.14
,66%,398.6,-10.77,10.44,-11.67,15.72,-0.25,-0.36
,138%,214.84,35.16,17.05,-22.81,25.67,0.63,0.22
,115%,289.01,10.47,12.98,4.15,19.57,-0.24,0.24
,28%,818.89,-0.2,2.99,0.33,4.5,-0.77,-0.82
,36%,547.19,-0.75,5.85,0.29,6.59,0.46,-0.66
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
338%,186%,16.31,35.14,4.73,3.87,27.76,,
347%,191%,16.54,31.92,6.41,2.88,37.03,0.33,
220%,159%,16.8,26.73,7.06,4.72,40.89,0.1,0.47
219%,162%,14,29.1,9.24,4.52,54.12,0.32,0.46
142%,,12.68,26.46,9.31,6.62,55.03,0.02,0.35
136%,,12.46,27.57,9.81,8.71,58.73,0.07,0.09
172%,,9.62,34.42,13.32,5.51,80.19,0.37,0.46
147%,,12.56,26.63,11.4,6.03,69.78,-0.13,0.19
119%,135%,19.49,17.23,10.2,2.02,63.22,-0.09,-0.21
113%,105%,21.76,22.02,8.76,2.25,58.35,-0.08,-0.16
129%,118%,21.04,24.55,10.97,8.09,74.89,0.28,0.18
93%,99%,23.36,17.67,8.9,7.41,62.02,-0.17,0.06
102%,109%,24.22,20.58,10.52,13.09,74.3,0.2,-0.01
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,0.8,0,,
,,, -   ,0,0.43,0,,
,,, -   ,0,0.31,0,,
,,, -   ,0,1.02,0,,
,,, -   ,0,1.29,0,,
,,, -   ,0,1.11,0,,
100%,,24.36,-18.64,4.47,-0.74,43.07,,
111%,,18.37,-16.8,5.73,0.12,62.97,0.46,
197%,,14.52,-25,7.71,-4.69,84.32,0.34,0.96
397%,,9.7,-82.88,14.52,0.76,151.25,0.79,1.4
622%,,8.87,-98.02,18.66,0.09,184.27,0.22,1.19
573%,,9.74,-75.36,20.59,0.05,202.5,0.1,0.34
850%,100%,31.39,21.53,68.43,-0.23,275.5,0.36,0.5
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
63%,91%, -   ,7.82,10.78,-0.59,27.19,,
84%,104%, -   ,8.92,13.55,-0.09,37.23,0.37,
126%,103%, -   ,12.79,12.99,-0.07,43.86,0.18,0.61
160%,119%, -   ,13.88,15.02,-0.46,53.73,0.23,0.44
45%,43%, -   ,16.05,4.58,-2.99,16.85,-0.69,-0.62
91%,81%, -   ,7.46,12.38,0.99,35.27,1.09,-0.34
85%,92%, -   ,7.88,9.97,0.77,36.66,0.04,1.18
105%,94%, -   ,9.15,11.99,0.38,42,0.15,0.19
100%,112%, -   ,9.53,15.28,0.55,53.46,0.27,0.46
199%,157%, -   ,16.89,24.1,0.88,87.48,0.64,1.08
177%,151%, -   ,13.14,26.68,1.71,102.91,0.18,0.92
230%,177%, -   ,18.2,37.54,1.42,146.33,0.42,0.67
141%,146%, -   ,18.82,30.32,1.47,138.67,-0.05,0.35
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,100%, -   ,7.22,0.18,,3.56,,
,80%, -   ,19.41,0.18,,3.65,0.03,
,88%, -   ,7.71,0.2,0,4.03,0.1,0.13
,87%, -   ,10.85,0.19,0,3.56,-0.12,-0.02
,94%, -   ,58.75,0.17,0,3.29,-0.08,-0.18
,109%, -   ,-18.78,0.15,0,2.78,-0.16,-0.22
,293%, -   ,-26.98,0.16,0,3.13,0.13,-0.05
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
89%,129%, -   ,12.85,7.39,1.11,42.15,,
87%,109%, -   ,13.14,7.77,4.71,44.68,0.06,
90%,89%, -   ,8.55,7.84,1.9,45.31,0.01,0.07
88%,71%, -   ,7.96,6.56,3.09,39.54,-0.13,-0.12
74%,54%, -   ,11.1,4.72,-0.43,29.07,-0.26,-0.36
70%,63%, -   ,9.9,4.25,-0.71,26.24,-0.1,-0.34
99%,90%, -   ,13.78,5.13,0.84,31.69,0.21,0.09
101%,111%, -   ,30.16,4.93,1.04,30.46,-0.04,0.16
122%,153%, -   ,15.24,6.38,0.95,39.16,0.29,0.24
137%,189%, -   ,16.79,10.37,0.82,52.37,0.34,0.72
108%,155%, -   ,16.3,8.48,1.04,51.83,-0.01,0.32
106%,153%, -   ,15.45,9.7,2.21,59.17,0.14,0.13
119%,158%, -   ,19.71,11.78,1.78,76.68,0.3,0.48
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
104%,103%,106.75,21.96,27.13,4.86,25.58,,
105%,105%,100,22.58,28.32,6.51,27.43,0.07,
123%,123%,106.35,26.52,33.45,-9.36,32.62,0.19,0.28
137%,131%,81.14,24.36,39.74,3.97,38.98,0.19,0.42
114%,106%,86.14,18.73,34.59,3.55,34.27,-0.12,0.05
115%,110%,87.61,18.8,40.6,14.34,41.08,0.2,0.05
99%,99%,92.76,18.65,39.78,14.48,40.19,-0.02,0.17
101%,103%,80.43,18.7,44.35,6.46,46.2,0.15,0.12
110%,110%,71.48,20.34,48.91,4.2,52.27,0.13,0.3
126%,132%,68.55,27.4,59.99,23.96,65.21,0.25,0.41
131%,141%,57.03,29.32,62.74,-22.02,69.19,0.06,0.32
130%,154%,53.05,43.83,59.47,-7.41,66.62,-0.04,0.02
124%,173%,69.97,43.48,59.13,-4.18,66.53,0,-0.04
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
112%,109%,24.19,9.12,8.45,-36.66,55.72,,
127%,102%,18.53,21.02,9.22,-42.13,60.97,0.09,
123%,93%,22.98,19.05,8.59,18.74,62.1,0.02,0.11
100%,88%,31.82,16.11,7.21,2.72,52.2,-0.16,-0.14
98%,90%,34.69,14.73,7.77,4.42,55.83,0.07,-0.1
108%,102%,26.5,14.66,8.63,-143.08,62.16,0.11,0.19
112%,104%,20.24,16.78,8.84,15.35,67.44,0.08,0.21
118%,107%,28.44,17.72,9.39,-1.9,72.46,0.07,0.17
131%,119%,13.64,19.33,10.84,4.34,83.14,0.15,0.23
130%,128%,17.92,21.61,11.77,6.17,91.4,0.1,0.26
129%,132%,13.51,23.8,13.38,-3.91,104.02,0.14,0.25
166%,171%,11.26,28.13,17.9,7.4,138.39,0.33,0.51
137%,135%,12.98,23.59,15.09,12.28,117.22,-0.15,0.13
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
74%,106%, -   ,14,10.4,-2.18,61.02,,
86%,92%, -   ,11.11,9.25,6.91,56.76,-0.07,
94%,89%, -   ,10.69,9.25,0.39,58.68,0.03,-0.04
87%,69%, -   ,9.83,6.55,0.25,43.53,-0.26,-0.23
47%,39%, -   ,15.51,2.99,0.24,19.85,-0.54,-0.66
95%,68%, -   ,-37.43,4.47,-0.5,29.57,0.49,-0.32
127%,205%, -   ,48,7.46,-0.14,42.24,0.43,1.13
83%,116%, -   ,12.34,5.09,1.07,25.8,-0.39,-0.13
78%,135%, -   ,11.36,5.71,0.16,30.34,0.18,-0.28
136%,162%, -   ,16.68,8.67,0.35,47.54,0.57,0.84
120%,142%, -   ,14.82,8.39,0.33,46.84,-0.01,0.54
119%,112%, -   ,14.73,7.35,0.32,41.83,-0.11,-0.12
170%,164%, -   ,25.9,8.97,0.37,62.16,0.49,0.33
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,146%,389.14,76.52,73.52,18.11,22.19,,
,167%,377.55,92.41,55.35,7.3,17.28,-0.22,
,266%,254.82,35.72,88.03,0.9,28.22,0.63,0.27
,136%,435.49,22,54.98,0.62,18.26,-0.35,0.06
169%,117%,529.56,19.63,48.63,3.13,16.88,-0.08,-0.4
141%,99%,429.95,13.38,47.84,30.15,16.86,0,-0.08
136%,108%,374.78,17.03,61,10.12,21.97,0.3,0.3
117%,103%,558.46,15.81,64.16,0.48,23.71,0.08,0.41
143%,132%,447.38,16.39,98.61,0.7,37.36,0.58,0.7
159%,151%,363.9,20.3,135.46,-2.76,51.97,0.39,1.19
154%,136%,300.12,18.13,147.41,16.3,58.01,0.12,0.55
135%,115%,322.13,17.42,137.82,2.08,56.43,-0.03,0.09
149%,124%,260.82,20.28,165.49,1.26,69.16,0.23,0.19
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
351%,325%,44.29,35.85,7.8,0.15,45.74,,
406%,393%,38.5,41.71,12.7,-0.26,73.5,0.61,
416%,391%,27.03,43.94,17.76,-0.36,101.95,0.39,1.23
409%,393%,29.71,45.95,36.55,0.07,137.2,0.35,0.87
106%,104%,447.93,17.16,13.94,0.07,41.62,-0.7,-0.59
136%,157%,97.09,27.07,22.34,0.34,67.19,0.61,-0.51
116%,134%,74.3,22.5,21.51,-0.87,64.35,-0.04,0.55
87%,87%,197.32,8.97,16.11,-1.55,48.73,-0.24,-0.27
84%,85%,150.32,18.77,16.81,-1.02,50.67,0.04,-0.21
135%,134%,297.11,26.87,26.19,-0.09,78.46,0.55,0.61
149%,164%,468.49,26.46,29.74,-0.03,88.65,0.13,0.75
134%,142%,406.45,24.55,30.53,0.12,90.6,0.02,0.15
157%,172%,282.58,26.3,38.29,0.1,112.84,0.25,0.27
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,-0.48,0,,
,,, -   ,0,-0.44,0,,
,,1.07,44.53,1.85,-0.56,57,,
,,0.5,69.05,4.83,0.06,147.07,1.58,
,,1.24,26.26,2,0.35,61.98,-0.58,0.09
253%,159%,1.16,22.32,2.78,1.75,88.16,0.42,-0.4
370%,275%,0.58,37.71,6.61,4.12,212.66,1.41,2.43
357%,320%,0.47,49.96,10.55,2.61,337.74,0.59,2.83
251%,216%,0.63,34,9.25,1.83,297.46,-0.12,0.4
347%,306%,0.37,50.89,16.53,1.93,532.78,0.79,0.58
360%,306%,0.36,48.44,21.24,1.84,684.51,0.28,1.3
212%,179%,0.58,31.78,14.67,2.15,479.85,-0.3,-0.1
209%,177%,0.68,168.15,11.88,-8.44,410.28,-0.14,-0.4
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
163%,228%,104.06,11.34,3.85,1.31,20.95,,
127%,136%,98.89,8.15,4.17,3.68,22.43,0.07,
130%,129%,81.18,8.32,6.16,3.32,29.55,0.32,0.41
265%,194%,42.57,17.21,12.88,1.57,63.69,1.16,1.84
105%,72%,98.73,6.96,5.38,1.04,26.73,-0.58,-0.1
174%,115%,53.03,21.23,9.23,3.24,45.86,0.72,-0.28
365%,220%,29.63,20.84,21.76,4.35,110.01,1.4,3.12
197%,129%,41.55,9.22,16.9,2.82,88.02,-0.2,0.92
228%,125%,28.94,12.5,20.56,1.55,108.35,0.23,-0.02
209%,139%,23.89,17.82,26.32,1.55,140.97,0.3,0.6
174%,126%,27.89,15.98,26.27,1.99,144.17,0.02,0.33
88%,74%,43.21,11.23,15.42,4.04,88.01,-0.39,-0.38
127%,115%,30.49,20.39,23.78,-192.91,141.29,0.61,-0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,147%,167.94,16.33,2.04,-0.46,10.45,,
,142%,147.07,-32.98,3.2,-0.52,14.51,0.39,
,158%,129.1,-40.73,3.68,-0.14,16.7,0.15,0.6
,,142.29,-17.04,3.91,0.74,17.38,0.04,0.2
,74%,184.27,8.43,2.29,11.24,10.11,-0.42,-0.39
,106%,124.78,17.21,3.57,-0.84,15.66,0.55,-0.1
,117%,108.66,14.53,4.64,-0.37,18.6,0.19,0.84
149%,126%,105.89,14.06,5.61,0.49,22.08,0.19,0.41
164%,124%,73.71,17.17,6.44,0.18,24.38,0.1,0.31
230%,124%,72.66,16.13,7.12,0.22,26.77,0.1,0.21
743%,144%,57.96,19.97,9.56,-0.12,34.75,0.3,0.43
750%,134%,63.8,19.09,10,-0.1,36.08,0.04,0.35
,137%,50.96,19.43,11.36,-0.45,40.6,0.13,0.17
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
202%,242%,14.26,27.8,1.17,-44.75,14.18,,
179%,166%,16.32,21.21,1.13,1.67,13.15,-0.07,
121%,142%,31.57,-24.34,1.07,12.28,12.29,-0.07,-0.13
111%,127%,35.48,16.73,1.2,4.79,13.72,0.12,0.04
67%,80%,65.01,10.49,0.85,2.95,9.86,-0.28,-0.2
69%,82%,67.6,11.21,0.97,2.11,10.59,0.07,-0.23
81%,93%,60.4,13.48,1.26,0.95,12.67,0.2,0.28
119%,134%,42.3,18.68,2.01,3.91,19.8,0.56,0.87
122%,184%,58.39,"1,025.00",2.15,-2.75,20.5,0.04,0.62
140%,213%,52.89,20.05,3.26,3.85,29.48,0.44,0.49
140%,258%,55.84,23.08,6.15,2.77,51.93,0.76,1.53
140%,213%,55.14,22.85,7.92,2.06,65.81,0.27,1.23
120%,151%,158.94,22.26,9.7,0.3,56.77,-0.14,0.09
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
85%,62%,459.03,-4.56,3.48,0.08,11.3,,
96%,81%,234.55,17.13,3.99,0.1,12.85,0.14,
,129%,254.58,12.47,5.21,-1.48,16.58,0.29,0.47
,128%,221.31,14.64,5.53,12.97,17.13,0.03,0.33
,91%,225.67,9.71,4.34,-0.16,12.62,-0.26,-0.24
81%,99%,209.37,14.37,5.67,0.1,14.51,0.15,-0.15
88%,114%,166.67,14.69,6.68,1.47,15.72,0.08,0.25
102%,102%,129.07,6.34,8.56,0.4,20.09,0.28,0.38
103%,93%,185.71,19.85,8.24,0.94,19.25,-0.04,0.22
153%,114%,130.24,32.19,9.94,-2.48,23.18,0.2,0.15
236%,138%,148.31,16.5,10.07,2.58,23.43,0.01,0.22
249%,106%,133.88,-11.4,7.89,-5.6,18.36,-0.22,-0.21
356%,146%,100.13,-57.02,10.31,-0.87,23.95,0.3,0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
90%,129%, -   ,13.56,20.79,0.51,84.21,,
84%,112%, -   ,12.84,25.99,0.23,86.4,0.03,
74%,90%, -   ,10.08,31.49,0.11,76.82,-0.11,-0.09
35%,63%, -   ,11.9,17.62,0.3,47.26,-0.38,-0.45
28%,43%, -   ,-151.86,12.49,1.14,31.89,-0.33,-0.58
40%,97%, -   ,51.81,17.45,0.92,38.34,0.2,-0.19
61%,93%, -   ,7.08,19.45,0.4,42.56,0.11,0.33
60%,93%, -   ,6.22,19.45,0.46,42.29,-0.01,0.1
80%,100%, -   ,9.48,33.73,0.21,57.93,0.37,0.36
108%,127%, -   ,11.12,43.87,0.28,76.61,0.32,0.81
106%,123%, -   ,10.88,45.68,-5.67,82.55,0.08,0.42
96%,107%, -   ,10.21,38.06,0.74,72.18,-0.13,-0.06
117%,121%, -   ,12.05,35.69,0.78,84.57,0.17,0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
173%,198%,53.36,16.47,1.47,3.56,3.69,,
242%,179%,38.76,15.08,2.19,0.24,5.64,0.53,
896%,135%,33.12,9.31,2.92,-0.35,7.58,0.34,1.05
,142%,25,23.57,3.92,-0.45,10.09,0.33,0.79
,80%,58.29,12.5,2.69,-0.25,6.5,-0.36,-0.14
17453%,152%,28.32,30.7,4.52,-0.2,10.9,0.68,0.08
15147%,147%,32.12,38.61,3.94,-1.58,9.46,-0.13,0.46
25989%,376%,18.09,65.45,7.92,-1.22,18.98,1.01,0.74
,522%,17.86,80.23,10.45,-2.09,24.87,0.31,1.63
,638%,10.52,58.73,16.14,-1.41,38.76,0.56,1.04
,520%,16.85,118.44,12.23,-1.16,29.61,-0.24,0.19
,283%,13.32,-63.18,7.32,-1.81,17.69,-0.4,-0.54
,409%,8.61,-41.56,10.63,7.9,22.86,0.29,-0.23
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
319%,,7.91,39.03,12.7,1.68,33.57,,
211%,168%,11.43,23.54,11.06,3.67,29.9,-0.11,
241%,183%,8.61,26.93,17.68,11.04,47.39,0.58,0.41
125%,104%,15.61,13.31,9.72,5.28,28.88,-0.39,-0.03
103%,90%,17.1,14.07,8.55,4.36,26.88,-0.07,-0.43
119%,109%,14.47,15.69,11.15,15.45,36.55,0.36,0.27
168%,157%,9.28,21.89,18.75,66.15,63.93,0.75,1.38
128%,122%,12.28,16.57,16.67,12.46,58.48,-0.09,0.6
111%,107%,12.66,15.81,16.09,9.26,57.09,-0.02,-0.11
67%,65%,23.78,12.25,9.38,5.81,34.19,-0.4,-0.42
73%,73%,24.12,23.87,9.57,4.22,34.61,0.01,-0.39
109%,104%,20.29,24.69,11.33,2.41,40.74,0.18,0.19
131%,113%,18.18,22.3,10.05,28.94,38.35,-0.06,0.11
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
159%,154%,24.36,21.96,8.34,6.06,48.32,,
142%,138%,24.14,20.09,9.16,12.53,54.84,0.13,
171%,146%,19.98,21.17,12.11,5.71,73.04,0.33,0.51
106%,82%,36.18,11.56,7.63,3.26,48.09,-0.34,-0.12
104%,80%,26.75,13.62,7.98,1.41,50.8,0.06,-0.3
110%,88%,24.93,16.55,9.13,1.6,58.25,0.15,0.21
96%,80%,28.34,13,8.09,5.03,52.76,-0.09,0.04
94%,80%,26.85,12.93,7.63,4.11,53.64,0.02,-0.08
113%,98%,29.19,14.82,9.17,-4.13,67.86,0.27,0.29
127%,113%,28,17.76,10.52,1.36,78.5,0.16,0.46
123%,113%,25.17,15.95,10.79,0.76,81.84,0.04,0.21
122%,113%,27.82,15.31,10.96,3.2,84.34,0.03,0.07
124%,120%,25.24,16.84,12.11,54.66,92.96,0.1,0.14
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
320%,243%,1.66,27.16,2.3,0.62,70.35,,
256%,216%,3.74,33.75,3.06,0.13,68.84,-0.02,
250%,179%,4.8,40.02,2.57,0.1,57.63,-0.16,-0.18
213%,136%,6.82,-168,1.88,0.06,42,-0.27,-0.39
282%,60%,15.5,11.52,0.74,-0.27,16.48,-0.61,-0.71
145%,94%,6.26,12.67,1.27,0.77,28.01,0.7,-0.33
160%,149%,4.04,20.3,2.26,-35.34,49.34,0.76,1.99
146%,159%,3.86,19.09,3.32,-27.21,69.3,0.4,1.47
156%,170%,2.74,19.01,4.65,1.87,95.98,0.38,0.95
202%,173%,2.49,21.68,6.2,1.77,129.21,0.35,0.86
250%,190%,2.7,29.75,7.89,0.51,163.9,0.27,0.71
252%,174%,3.74,36.8,7.35,0.53,152.36,-0.07,0.18
278%,195%,1.88,33.41,8.32,2.79,170.7,0.12,0.04
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
126%,92%,470.88,5.71,45.99,0.51,33.1,,
133%,96%,481.6,4.64,61.11,0.75,44.35,0.34,
136%,91%,481.88,5.68,92.72,0.23,54.85,0.24,0.66
111%,111%,399.38,9.32,105.11,0.37,67.31,0.23,0.52
67%,62%,551.53,-3.54,58.87,-1.29,39.49,-0.41,-0.28
74%,86%,608.66,13.24,59.37,-0.83,38.93,-0.01,-0.42
110%,114%,528.2,6.81,76.19,-4.23,51.91,0.33,0.31
105%,114%,505.27,6.19,71.42,-1.9,55.55,0.07,0.43
107%,109%,300.79,8.63,70.75,-0.73,57.99,0.04,0.12
172%,127%,214.14,9.57,86.61,-0.39,70.65,0.22,0.27
678%,118%,167.06,12.53,85.04,-0.04,69.06,-0.02,0.19
457%,77%,198.24,-13.04,57.71,0.23,46.69,-0.32,-0.34
,81%,164.74,-8.08,56.69,0.25,45.75,-0.02,-0.34
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
121%,111%,155.77,19.91,20.51,-15.07,43.4,,
139%,108%,167.11,20.34,21.63,2.65,46.79,0.08,
215%,133%,138.98,26.05,26.99,1.7,61.75,0.32,0.42
245%,129%,132.33,23.2,29,1.11,67.06,0.09,0.43
183%,95%,182.05,20.64,22.23,1.62,50.98,-0.24,-0.17
155%,100%,178.11,19.35,24.49,6.69,56.5,0.11,-0.16
156%,129%,153.43,23.8,34.11,35.24,78.54,0.39,0.54
167%,142%,125.27,25.16,42.4,5.09,97.87,0.25,0.73
204%,140%,118.5,24.16,48.85,2.68,111.87,0.14,0.42
194%,136%,119.03,26.04,52.99,3.87,121.08,0.08,0.24
216%,139%,118.09,26.08,61.33,-6.21,140.05,0.16,0.25
291%,148%,96.09,30.41,70.92,2.9,162.09,0.16,0.34
350%,131%,102.55,28.44,66.39,1.14,151.88,-0.06,0.08
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,0,,0,,
,,, -   ,0,,0,,
,,, -   ,0,0.3,0,,
,,85.17,40.9,6.58,-2.48,17.18,,
96%,,93.25,-65.88,6.06,9.64,17.13,0,
184%,,47.74,49.95,11.53,13.39,31.97,0.87,0.86
138%,,71.38,59.07,8.76,0.88,25.99,-0.19,0.52
121%,,94.71,47.33,14.84,1.09,19.88,-0.24,-0.38
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
123%,117%,64.89,18.04,12.59,1.27,30.85,,
133%,128%,78.54,19.83,14.75,-20.94,36.68,0.19,
146%,116%,55.12,17.05,14.15,-4.91,36.83,0,0.19
159%,98%,66.05,11.89,12.95,-7.95,36.38,-0.01,-0.01
127%,81%,52.47,15.14,10.87,49.36,31.03,-0.15,-0.16
120%,90%,57.52,14.83,12.19,-61.55,35.9,0.16,-0.01
97%,87%,60.18,13.66,10.58,202.75,33.05,-0.08,0.07
88%,86%,62.52,13.74,10.33,14.34,33.11,0,-0.08
115%,142%,70.13,32.5,14.6,7.37,46.8,0.41,0.42
111%,120%,71.87,15.18,13.06,2.65,41.59,-0.11,0.26
129%,142%,56.91,23.15,15.31,6.57,49.31,0.19,0.05
140%,185%,41.03,34.4,19.18,26.34,62.27,0.26,0.5
113%,184%,47.98,27.13,17.69,-105.93,57.52,-0.08,0.17
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,38.39,190.56,1.44,2.09,3.43,,
,,22.87,171,4.54,13.15,10.26,1.99,
,,34.05,,5.02,23.15,10.96,0.07,2.2
,,46.68,341.58,6.19,8,12.98,0.18,0.27
134%,,115.33,75.57,3.27,-17.46,6.65,-0.49,-0.39
250%,,57.15,100.57,8.08,1.99,15.89,1.39,0.22
544%,,39.53,273.64,17.17,0.37,32.29,1.03,3.86
342%,,78.77,"-1,460.00",16,0.94,29.2,-0.1,0.84
370%,,67.8,-89.65,25.2,2.52,43.03,0.47,0.33
397%,,65.76,-155.21,36.93,0.48,60.53,0.41,1.07
292%,,77.77,-134.4,36.73,0.57,56.45,-0.07,0.31
294%,,82.53,-972.29,45.66,1.61,68.06,0.21,0.12
248%,,67.48,245.77,52.21,1.11,73.73,0.08,0.31
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
109%,143%,496.66,22.01,121.24,-1.49,19.15,,
94%,121%,632.72,20.09,108.53,-5.08,17.88,-0.07,
128%,147%,462.05,24.71,176.09,2.43,28.91,0.62,0.51
86%,101%,630.2,16.79,129.59,6.02,21.99,-0.24,0.23
82%,94%,620.4,20.96,127.33,16.27,22.01,0,-0.24
